SiteType siteAbbr SiteName NestRand HumDist NestCluster ibdepth Canopy DistTW Slope dailyMean_C dailyMax_C dailyMin_C range urbPC1 urbPC2
1 fisheriesS11 FisheriesS11 1 Intermediate D7 6.5 69.22 6.93 0 NA NA NA NA -0.462750702876918 -0.70460331469912
1 fisheriesS30 FisheriesS30 0 Intermediate D8 6 52.55 33.2 4 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D8 6 46.55 44.25 6 28.1159825870647 30.544776119403 26.2910447761194 4.25373134328358 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D8 6 60.49 37.47 6 28.4757462686567 32.0373134328358 25.7985074626866 6.23880597014925 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D8 6 69.95 39.22 0 28.577736318408 31.7910447761194 26.1865671641791 5.6044776119403 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 0 Intermediate D35  6 61.69 33.71 2 28.4710820895522 32.1044776119403 25.910447761194 6.19402985074627 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D35  6 66.7 29.87 9 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D35 6 81.79 31 4 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D35 6 56.66 28.2 6 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 0 Intermediate D10 NA 78.04 47.5 8.1 28.4151119402985 31.634328358209 25.8955223880597 5.73880597014925 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D10 NA 92.66 48.1 5.5 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D10 NA 85.92 48.17 6.3 28.6464552238806 32.634328358209 25.6940298507463 6.94029850746269 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D10 NA 90.39 43.3 13.1 NA NA NA NA -0.775443831015433 -0.20722126310982
0 tnfoxbow TNFOxbow  0 Low D33 6 41.45 31.9 13.6 28.3003731343284 34.2313432835821 24.9328358208955 9.29850746268657 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D33 6 82.77 42.96 12.9 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D33 6 75.73 30.58 9.5 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D33 6 17.72 28.5 9.9 23.9375 24.9029850746269 23.2388059701493 1.66417910447761 -1.58919894797634 0.487743161847871
1 fisheriesS30 FisheriesS30 0 Intermediate D9 6 34.47 35.76 13.7 27.3034825870647 29.9850746268657 25.544776119403 4.44029850746269 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D9 6 66.48 34.7 15.2 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D9 6 54.68 36.7 7.7 27.4533582089552 31.3059701492537 25.1567164179104 6.14925373134328 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D9 6 63.16 35.86 10.3 NA NA NA NA -0.775443831015433 -0.20722126310982
0 tnfoxbow TNFOxbow  0 Low D34 6 55.14 19.8 10.7 28.7462686567164 34.8134328358209 25.2014925373134 9.61194029850747 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D34 6 53.3 25.9 8 26.7714552238806 29.9402985074627 24.9402985074627 5 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D34 6 30.38 24.7 6.6 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D34 6 48.41 19.95 6.8 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D32 NA 18.03 22.6 1 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D32 NA 14.06 16.6 1 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D32 NA 17.84 14.31 5 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D32 NA 19.15 17.97 9 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D26 NA 34.37 25.5 3 30.1169154228856 35.455223880597 26.3208955223881 9.13432835820896 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D26 NA 22.25 15.8 1 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D26 NA 67.02 34.5 2 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D26 NA 64.97 22.15 2 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D25 5.4 38.06 28.4 3 28.928171641791 34.6716417910448 25.4328358208955 9.23880597014925 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D25 5.4 41.84 29.3 3 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D25 5.4 63 24.66 5 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D25 5.4 61.69 32.1 2 31.9334577114428 40.6044776119403 26.6865671641791 13.9179104477612 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D24 5.2 38.88 17 2 28.970460199005 33.589552238806 25.6641791044776 7.92537313432836 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D24 5.2 46.13 10.5 6 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D24 5.2 46.72 13.3 1 32.2835820895522 40.5373134328358 26.6492537313433 13.8880597014925 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D24 5.2 11.11 17 6 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D23 6.3 50.8 12.6 5 30.0370024875622 35.7313432835821 25.865671641791 9.86567164179105 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D23 6.3 44.63 15 3 29.18407960199 32.9402985074627 25.9925373134328 6.94776119402985 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D23 6.3 33.4 13.3 4 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D23 6.3 19.67 12.53 0 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D22 6 60.69 6.44 5 31.678171641791 39.7014925373134 26.5373134328358 13.1641791044776 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D22 6 65.43 15.3 3 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D22 6 34.03 7.62 1 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D22 6 50.55 5.5 3 31.6787935323383 39.5223880597015 26.6194029850746 12.9029850746269 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D21 6 52.54 8.79 3 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D21 6 15.88 13.4 4 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D21 6 43.51 6.79 2 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D21 6 60.69 3 4 NA NA NA NA -1.58919894797634 0.487743161847871
2 tcpond TownCreekpond 0 High 5 8 34.14 9.44 9 27.1558716707022 29.135593220339 25.6271186440678 3.50847457627119 5.15534969179867 -0.00649993710970242
2 tcpond TownCreekpond 1 High 5 8 33.14 11.2 2 28.3525020177563 31.8220338983051 26.3559322033898 5.46610169491525 5.15534969179867 -0.00649993710970242
2 tcpond TownCreekpond 1 High 5 8 22.29 3.33 10 NA NA NA NA 5.15534969179867 -0.00649993710970242
2 tcpond TownCreekpond 1 High 5 8 36.74 7.6 3 NA NA NA NA 5.15534969179867 -0.00649993710970242
1 fisheriesS30 FisheriesS30 0 Intermediate 7 8 46.61 67.4 1 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 7 8 62.17 60.72 0 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 7 8 82.2 76.9 2 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 7 8 62.97 67.9 3 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 0 Intermediate 6 7.9 52.72 241.9 4 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 6 7.9 44.89 244.9 3 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 6 7.9 24.88 246.7 2 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate 6 7.9 54.74 242.15 5 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS10 FisheriesS10 0 Intermediate D12 6 39.67 5.38 15 28.1315511674118 32.5327868852459 25.5491803278689 6.98360655737705 -0.462750702876918 -0.70460331469912
1 fisheriesS10 FisheriesS10 1 Intermediate D12 6 54 4.6 5 NA NA NA NA -0.462750702876918 -0.70460331469912
1 fisheriesS10 FisheriesS10 1 Intermediate D12 6 48.53 8.2 12 NA NA NA NA -0.462750702876918 -0.70460331469912
1 fisheriesS10 FisheriesS10 1 Intermediate D12 6 52.64 6.5 20 28.3139592647789 31.516393442623 25.9344262295082 5.58196721311475 -0.462750702876918 -0.70460331469912
1 fisheriesS8w FisheriesS8west 0 Intermediate 8 6.5 52.55 1.62 5 NA NA NA NA -0.821938726870112 -0.506424414788405
1 fisheriesS8w FisheriesS8west 1 Intermediate 8 6.5 46.55 2.76 13 NA NA NA NA -0.821938726870112 -0.506424414788405
1 fisheriesS8w FisheriesS8west 1 Intermediate 8 6.5 60.49 2.3 8 NA NA NA NA -0.821938726870112 -0.506424414788405
1 fisheriesS8w FisheriesS8west 1 Intermediate 8 6.5 69.95 3.5 11 NA NA NA NA -0.821938726870112 -0.506424414788405
1 fisheriesS8e FisheriesS8east 0 Intermediate D14 6 77.26 3.3 25 NA NA NA NA -0.462750702876918 -0.70460331469912
1 fisheriesS8e FisheriesS8east 1 Intermediate D14 6 39.23 1.5 44 NA NA NA NA -0.462750702876918 -0.70460331469912
1 fisheriesS8e FisheriesS8east 1 Intermediate D14 6 70.6 3.25 64 NA NA NA NA -0.462750702876918 -0.70460331469912
1 fisheriesS8e FisheriesS8east 1 Intermediate D14 6 78.63 5.3 36 NA NA NA NA -0.462750702876918 -0.70460331469912
1 fisheriesS30 FisheriesS30 0 Intermediate D17 6 64.76 96.2 0 28.8684701492537 38.2985074626866 23.8134328358209 14.4850746268657 -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D17 6 75.42 92.5 5 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D17 6 58.24 98.3 2 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D17 6 69.93 91.3 7 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 0 Intermediate D18 6 52.31 67.8 0 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D18 6 65.06 67.3 2 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D18 6 68.89 63.6 1 NA NA NA NA -0.775443831015433 -0.20722126310982
1 fisheriesS30 FisheriesS30 1 Intermediate D18 6 68.67 65.4 1 NA NA NA NA -0.775443831015433 -0.20722126310982
0 tnfoxbow TNFOxbow  0 Low D27 NA 61.54 41.25 3 32.5872208931419 39.6052631578947 28 11.6052631578947 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D27 NA 38.21 44.7 0 27.7343833067517 31.9298245614035 24.8245614035088 7.10526315789474 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D27 NA 16.94 49.5 1 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D27 NA 26.06 48.93 2 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D28 NA 42.39 29.41 0 29.1138059701493 33.3134328358209 26.2835820895522 7.02985074626866 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D28 NA 52.98 21.2 9 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D28 NA 69.83 25.13 5 33.3252487562189 41.8731343283582 27.4925373134328 14.3805970149254 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D28 NA 42.67 28.9 3 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D29 NA 39.38 36.45 4 31.0146531100478 39.1666666666667 26.1491228070175 13.0175438596491 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D29 NA 30.21 42.26 7 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D29 NA 43.52 38.43 5 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D29 NA 12.25 34.72 5 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D30 NA 32.9 19.03 4 29.7686567164179 35.8208955223881 26 9.82089552238806 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D30 NA 20.64 14.32 6 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D30 NA 61.79 24.49 5 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D30 NA 9.86 18.46 2 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  0 Low D31 NA 63.69 33.05 5 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D31 NA 77.69 32.1 0 NA NA NA NA -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D31 NA 64.06 32.57 3 33.4336124401914 42.640350877193 26.9210526315789 15.719298245614 -1.58919894797634 0.487743161847871
0 tnfoxbow TNFOxbow  1 Low D31 NA 69.95 32.15 2 NA NA NA NA -1.58919894797634 0.487743161847871
1 fisheriesS24 FisheriesS24 0 Intermediate D11 6 50.12 15.54 10 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D11 6 57.4 15 4 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D11 6 56.43 14.9 0 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D11 6 55.46 16.1 0 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 0 Intermediate D46 6 42.41 27.83 3 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D46 6 19.91 32.45 6 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D46 6 40.1 28.37 0 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D46 6 25.82 26.4 7 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 0 Intermediate D36 6 44.27 10.3 3 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D36 6 39.86 4.66 5 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D36 6 27.76 5.3 NA NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D36 6 41.57 3.7 8 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 0 Intermediate D49 6 46.16 2 7 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D49 6 45.13 3.8 10 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D49 6 43.79 3.3 5 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D49 6 29.57 4.5 19 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 0 Intermediate D63 6 37.28 16.22 21 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D63 6 43.2 20.36 21 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D63 6 55.08 19.35 6 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS24 FisheriesS24 1 Intermediate D63 6 45.22 18.37 1 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 0 Intermediate D66 NA 35.62 3.1 1 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D66 NA 4.22 9.1 3 NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D66 NA 20.25 6.05 NA NA NA NA NA -1.37861894659687 0.0966069195532831
1 fisheriesS23 FisheriesS23 1 Intermediate D66 NA 12.98 9.3 14 NA NA NA NA -1.37861894659687 0.0966069195532831
